10001,1,60,55,1,1,1,2026-03-10 09:10:15
10001,1,80,45,0,2,1,2026-03-10 09:15:30
10001,2,50,65,2,1,1,2026-03-10 09:20:20
10001,2,70,52,1,2,1,2026-03-10 09:25:45
10001,3,90,38,0,1,1,2026-03-10 09:35:20
10002,1,40,80,3,1,1,2026-03-11 10:05:30
10002,1,50,75,2,2,1,2026-03-11 10:12:45
10002,1,60,67,2,3,1,2026-03-11 10:20:15
10002,2,55,48,1,2,1,2026-03-11 10:35:40
10002,3,65,55,1,2,1,2026-03-11 10:50:25
10003,1,85,42,0,1,1,2026-03-11 14:10:30
10003,2,75,50,0,1,1,2026-03-11 14:25:15
10003,3,80,47,0,1,1,2026-03-11 14:40:00
10004,1,20,135,4,1,1,2026-03-12 08:10:05
10004,1,30,128,3,2,1,2026-03-12 08:18:30
10004,1,35,125,3,3,1,2026-03-12 08:25:10
10004,1,40,120,3,4,1,2026-03-12 08:30:20
10004,2,25,100,3,1,1,2026-03-12 08:45:30
10004,2,30,98,2,2,1,2026-03-12 08:50:15
10004,2,35,95,2,3,1,2026-03-12 08:55:45
10004,3,40,92,2,1,1,2026-03-12 09:05:20
10004,3,42,90,2,2,1,2026-03-12 09:12:35
10004,3,45,88,2,3,1,2026-03-12 09:20:10
10005,1,95,35,0,1,1,2026-03-12 11:05:30
10005,2,90,40,0,1,1,2026-03-12 11:20:45
10005,3,85,42,0,1,1,2026-03-12 12:35:20
10006,1,35,90,3,1,1,2026-03-12 15:20:10
10006,1,45,82,2,2,1,2026-03-12 15:30:45
10006,1,50,78,2,3,1,2026-03-12 15:40:15
10006,2,40,88,3,1,1,2026-03-12 15:50:20
10006,2,42,87,3,2,1,2026-03-12 16:00:10
10006,2,44,86,3,3,1,2026-03-12 16:05:25
10006,2,45,85,3,4,1,2026-03-12 16:10:30
10006,3,55,72,1,2,1,2026-03-12 16:35:45
10007,1,55,65,2,1,1,2026-03-13 08:50:10
10007,1,70,55,1,2,1,2026-03-13 09:00:20
10007,2,65,60,1,2,1,2026-03-13 09:20:35
10007,3,75,48,0,1,1,2026-03-13 09:40:10
10008,1,85,40,0,1,1,2026-03-13 10:15:25
10008,2,80,45,0,1,1,2026-03-13 10:30:40
10008,3,90,38,0,1,1,2026-03-13 10:45:55
10009,1,20,165,5,1,1,2026-03-13 11:05:30
10009,1,25,158,4,2,1,2026-03-13 11:15:45
10009,1,28,155,4,3,1,2026-03-13 11:22:20
10009,1,30,150,4,5,1,2026-03-13 11:30:20
10009,2,20,140,4,1,1,2026-03-13 11:45:30
10009,2,22,138,3,2,1,2026-03-13 11:52:15
10009,2,25,135,3,4,1,2026-03-13 12:00:45
10009,3,30,125,4,1,1,2026-03-13 12:15:30
10009,3,32,122,3,2,1,2026-03-13 12:22:10
10009,3,35,120,3,4,1,2026-03-13 12:30:10
10010,1,60,62,2,1,1,2026-03-13 14:10:15
10010,1,75,50,1,2,1,2026-03-13 14:20:30
10010,2,70,55,1,2,1,2026-03-13 14:40:45
10010,3,80,45,0,1,1,2026-03-13 15:00:20
10003,1,40,4,1,2,1,2026-03-13 15:54:31
